时间戳,设备ID,设备名称,AccX(g),AccY(g),AccZ(g),GyroX(°/s),GyroY(°/s),GyroZ(°/s),Roll(°),Pitch(°),Yaw(°),Q0,Q1,Q2,Q3
"2025-04-20T04:22:37.382Z",RDq3CupwznE8HZ3qARUTgQ==,"WT901BLE67",0.0195,0.0068,1.0234,0.00,0.00,0.00,0.38,-1.09,0.00,0.999908,0.003357,-0.009552,0.000000
"2025-04-20T04:22:37.382Z",RDq3CupwznE8HZ3qARUTgQ==,"WT901BLE67",0.0195,0.0068,1.0234,0.00,0.00,0.00,0.38,-1.09,0.00,0.999908,0.003357,-0.009552,0.000000
"2025-04-20T04:22:37.383Z",RDq3CupwznE8HZ3qARUTgQ==,"WT901BLE67",0.0195,0.0068,1.0234,0.00,0.00,0.00,0.38,-1.09,0.00,0.999908,0.003357,-0.009552,0.000000
"2025-04-20T04:22:37.383Z",RDq3CupwznE8HZ3qARUTgQ==,"WT901BLE67",0.0195,0.0068,1.0234,0.00,0.00,0.00,0.38,-1.09,0.00,0.999908,0.003357,-0.009552,0.000000
"2025-04-20T04:22:37.384Z",RDq3CupwznE8HZ3qARUTgQ==,"WT901BLE67",0.0195,0.0068,1.0234,0.00,0.00,0.00,0.38,-1.09,0.00,0.999908,0.003357,-0.009552,0.000000
"2025-04-20T04:22:37.441Z",RDq3CupwznE8HZ3qARUTgQ==,"WT901BLE67",0.0200,0.0063,1.0239,-0.06,0.00,0.00,0.38,-1.09,0.00,0.999908,0.003357,-0.009552,0.000000
"2025-04-20T04:22:37.442Z",RDq3CupwznE8HZ3qARUTgQ==,"WT901BLE67",0.0200,0.0063,1.0239,-0.06,0.00,0.00,0.38,-1.09,0.00,0.999908,0.003357,-0.009552,0.000000
"2025-04-20T04:22:37.443Z",RDq3CupwznE8HZ3qARUTgQ==,"WT901BLE67",0.0200,0.0063,1.0239,-0.06,0.00,0.00,0.38,-1.09,0.00,0.999908,0.003357,-0.009552,0.000000
"2025-04-20T04:22:37.444Z",RDq3CupwznE8HZ3qARUTgQ==,"WT901BLE67",0.0200,0.0063,1.0239,-0.06,0.00,0.00,0.38,-1.09,0.00,0.999908,0.003357,-0.009552,0.000000
"2025-04-20T04:22:37.444Z",RDq3CupwznE8HZ3qARUTgQ==,"WT901BLE67",0.0200,0.0063,1.0239,-0.06,0.00,0.00,0.38,-1.09,0.00,0.999908,0.003357,-0.009552,0.000000
"2025-04-20T04:22:37.445Z",RDq3CupwznE8HZ3qARUTgQ==,"WT901BLE67",0.0200,0.0063,1.0239,-0.06,0.00,0.00,0.38,-1.09,0.00,0.999908,0.003357,-0.009552,0.000000
"2025-04-20T04:22:37.501Z",RDq3CupwznE8HZ3qARUTgQ==,"WT901BLE67",0.0195,0.0063,1.0234,0.00,0.00,0.00,0.38,-1.09,0.00,0.999908,0.003357,-0.009552,0.000000
"2025-04-20T04:22:37.503Z",RDq3CupwznE8HZ3qARUTgQ==,"WT901BLE67",0.0195,0.0063,1.0234,0.00,0.00,0.00,0.38,-1.09,0.00,0.999908,0.003357,-0.009552,0.000000
"2025-04-20T04:22:37.503Z",RDq3CupwznE8HZ3qARUTgQ==,"WT901BLE67",0.0195,0.0063,1.0234,0.00,0.00,0.00,0.38,-1.09,0.00,0.999908,0.003357,-0.009552,0.000000
